id,WorldPortIndexNumber,CountryCode,Latitude,Longitude,SuppliesFuelOil,SuppliesDieselOil,Repairs
40,48533.0,Iran,27.65,52.35,Unknown,Unknown,Unknown
41,46691.0,SaintHelena,Ascension,andTristandaCunha,-7.883333,-14.366667,Unknown,Unknown,Unknown
42,57433.0,Thailand,8.05,102.333333,No,No,None
43,52350.0,Indonesia,-0.65,119.733333,No,No,EmergencyOnly
44,3790.0,Canada,44.983333,-81.25,Yes,Unknown,None
45,4150.0,Canada,45.866667,-82.166667,Unknown,Unknown,Unknown
46,23300.0,Norway,59.783333,5.116667,Yes,Unknown,Unknown
47,23107.0,Norway,62.9,6.916667,Yes,Unknown,Limited
48,23455.0,Norway,59.583333,5.15,Yes,Unknown,Limited
49,19970.0,UnitedStates,58.45,-152.683333,Unknown,Unknown,Unknown
50,20270.0,UnitedStates,58.966667,-156.916667,Unknown,Unknown,Limited
51,20350.0,UnitedStates,62.9,-163.916667,Unknown,Yes,Unknown
52,5150.0,Canada,47.566667,-84.966667,Unknown,Unknown,Unknown
53,42415.0,Greece,38.566667,23.283333,Unknown,Unknown,Unknown
54,31895.0,UnitedKingdom,51.566667,-2.966667,Yes,Yes,Limited
55,38420.0,Spain,37.4,-1.55,Unknown,Unknown,Unknown
56,40245.0,Italy,37.116667,15.25,Yes,Yes,Limited
57,43940.0,Ukraine,46.166667,34.816667,Yes,Unknown,Limited
58,48464.0,Iran,29.733333,50.166667,Yes,Unknown,None
59,49660.0,Burma,16.483333,97.616667,No,No,Limited
60,55500.0,NorfolkIsland,-29.066667,167.95,No,No,Unknown
61,51290.0,Indonesia,-8.7,116.566667,Unknown,No,EmergencyOnly
62,57415.0,Malaysia,4.566667,103.466667,No,No,None
63,47942.0,Sudan,19.583333,37.25,Unknown,Unknown,Unknown
64,18915.0,Canada,52.166667,-128.15,Unknown,Yes,Unknown
65,19290.0,UnitedStates,55.966667,-133.8,Unknown,Unknown,Unknown
66,5970.0,Canada,45.95,-60.783333,Unknown,Unknown,Unknown
67,6670.0,UnitedStates,44.4,-67.966667,Yes,Yes,Unknown
68,7315.0,UnitedStates,41.633333,-70.3,Unknown,Yes,Unknown
69,58630.0,Philippines,12.566667,125.016667,Unknown,Yes,Unknown
70,59550.0,Philippines,7.583333,123.166667,Unknown,Unknown,Unknown
71,60720.0,Russia,42.866667,132.683333,Unknown,Unknown,Limited
72,4720.0,UnitedStates,42.666667,-86.2,Yes,Yes,Moderate
73,19930.0,UnitedStates,57.933333,-153.033333,Yes,Yes,Unknown
74,19980.0,UnitedStates,58.466667,-152.683333,Unknown,Unknown,Unknown
75,20410.0,UnitedStates,65.266667,-166.333333,Unknown,Yes,Unknown
76,5070.0,UnitedStates,45.833333,-86.666667,Unknown,Unknown,Unknown
77,44270.0,Russia,43.433333,39.933333,Yes,Unknown,Unknown
78,45635.0,Algeria,35.816667,-0.25,Yes,Yes,None
79,45822.0,Senegal,12.566667,-16.666667,Unknown,Unknown,Unknown
80,46335.0,EquatorialGuinea,1.416667,9.233333,No,No,None
81,46710.0,SaintHelenaAscensionandTristandaCunha,-37.05,-12.3,Unknown,Unknown,Unknown
82,14175.0,Chile,-52.683333,-71.9,Unknown,Unknown,Unknown
83,19100.0,UnitedStates,54.95,-130.333333,Yes,Unknown,Unknown
84,19120.0,UnitedStates,55.383333,-131.466667,Unknown,Unknown,Unknown
85,19200.0,UnitedStates,56.066667,-132.466667,Unknown,Unknown,Unknown
86,19600.0,UnitedStates,59.183333,-135.4,Unknown,Unknown,Unknown
87,19710.0,UnitedStates,60.066667,-148.0,Unknown,Unknown,Unknown
88,6970.0,UnitedStates,43.766667,-69.316667,Unknown,Unknown,Unknown
89,6710.0,UnitedStates,44.3,-68.283333,Unknown,Yes,Limited
90,6800.0,UnitedStates,44.333333,-68.733333,Yes,Yes,Unknown
91,6830.0,UnitedStates,43.866667,-68.883333,Yes,Yes,Unknown
92,43780.0,Ukraine,44.5,33.6,Unknown,Unknown,Unknown
93,43810.0,Ukraine,44.683333,34.416667,Unknown,Unknown,Unknown
94,48475.0,Iran,27.533333,52.533333,Unknown,Unknown,Unknown
95,49460.0,India,16.15,81.166667,Unknown,Unknown,Limited
96,49875.0,Malaysia,4.633333,104.816667,No,Unknown,None
97,63090.0,Antarctica,-62.083333,-58.416667,Unknown,Unknown,Unknown
98,63110.0,Antarctica,-64.316667,-63.0,Unknown,Unknown,None
99,7900.0,UnitedStates,40.616667,-74.2,Unknown,Unknown,Unknown
100,543.0,Greenland,61.766667,-42.216667,Unknown,Unknown,EmergencyOnly
101,940.0,Greenland,72.15,-55.533333,No,No,Limited
102,2350.0,Canada,45.566667,-74.366667,Unknown,Unknown,Unknown
103,4020.0,Canada,45.316667,-80.1,Unknown,Unknown,Unknown
104,44807.0,Turkey,36.833333,28.383333,Yes,Yes,Limited
105,46239.0,Nigeria,3.066667,6.7,Unknown,Unknown,Unknown
106,46452.0,Gabon,-3.133333,10.216667,Unknown,Unknown,Unknown
107,47625.0,Madagascar,-13.083333,48.833333,Yes,Yes,Limited
108,48121.0,SaudiArabia,23.95,38.216667,Yes,Yes,Limited
109,51780.0,Indonesia,3.283333,117.6,Yes,Unknown,EmergencyOnly
110,53195.0,PapuaNewGuinea,-10.416667,150.416667,Unknown,Unknown,EmergencyOnly
111,54830.0,Australia,-43.316667,147.033333,Unknown,Unknown,EmergencyOnly
112,55270.0,NewZealand,-40.683333,172.666667,Yes,Yes,Limited
113,56039.0,Kiribati,3.85,-159.366667,Unknown,Unknown,Unknown
114,26990.0,Sweden,64.233333,21.1,Unknown,Unknown,Unknown
115,42180.0,Greece,37.983333,23.533333,Unknown,Unknown,Major
116,43093.0,Greece,35.516667,23.633333,Unknown,Unknown,Limited
117,43384.0,Turkey,40.416667,29.1,Yes,Yes,Limited
118,60030.0,China,30.516667,117.033333,Yes,Yes,None
119,60350.0,SouthKorea,33.516667,126.533333,Yes,Unknown,Limited
120,61110.0,Japan,44.35,143.35,Unknown,Yes,Limited
121,63070.0,Antarctica,-60.733333,-45.033333,Unknown,Unknown,Unknown
122,63120.0,Antarctica,-64.316667,-62.933333,Unknown,Unknown,Unknown
123,19750.0,UnitedStates,60.0505,-147.9042,Unknown,Unknown,Unknown
124,11360.0,France,18.066667,-63.083333,Unknown,Unknown,Unknown
125,10280.0,Cuba,20.666667,-74.9,Unknown,Unknown,Limited
126,10250.0,Cuba,20.733333,-75.6,Yes,No,Unknown
127,11372.0,SintMaarten,18.016667,-63.083333,Unknown,Unknown,None
128,48057.0,Egypt,29.166667,32.683333,Unknown,Unknown,Unknown
129,60205.0,China,40.066667,121.05,Unknown,Unknown,Unknown
130,55960.0,FrenchPolynesia,-23.116667,-134.966667,No,No,Unknown
131,57900.0,Taiwan,24.6,121.866667,Yes,Yes,Limited
132,60870.0,Russia,52.7,143.55,No,Unknown,Unknown
133,60010.0,China,31.333333,118.366667,Unknown,Unknown,None
134,49685.0,Burma,13.05,96.85,No,No,None
135,48214.0,Yemen,13.983333,47.916667,Unknown,Unknown,Unknown
136,48272.0,UnitedArabEmirates,25.583333,55.4,No,No,None
137,47989.0,Egypt,27.8,33.566667,No,No,None
138,51800.0,Indonesia,2.15,117.483333,Unknown,Unknown,Limited
139,59575.0,Philippines,7.783333,122.683333,Unknown,Unknown,Unknown
140,11048.0,DominicanRepublic,18.2,-70.2,No,No,None
141,57490.0,Cambodia,10.5,103.6,Unknown,Unknown,EmergencyOnly
142,50231.0,Indonesia,-2.616667,104.133333,Yes,Unknown,Unknown
143,56330.0,WakeIsland,19.283333,166.616667,No,Yes,Limited
144,61090.0,Russia,43.866667,146.833333,Unknown,Unknown,Unknown
145,50932.0,Indonesia,-5.966667,105.983333,Yes,Yes,Unknown
146,51680.0,Malaysia,5.283333,115.233333,Yes,Yes,Major
147,48341.0,SaudiArabia,26.9,49.866667,Unknown,Unknown,Unknown
148,7890.0,UnitedStates,40.55,-74.25,Yes,Yes,Limited
149,8890.0,UnitedStates,38.716667,-90.2,Yes,Yes,Moderate
150,11005.0,DominicanRepublic,19.2,-69.45,Yes,Yes,None
151,63100.0,Antarctica,-64.816667,-63.5,Unknown,Unknown,Unknown
152,51500.0,Indonesia,3.216667,106.216667,Unknown,Unknown,Unknown
153,52440.0,Indonesia,3.616667,125.483333,Unknown,Unknown,Unknown
154,57472.0,Thailand,13.166667,100.15,Unknown,Unknown,Limited
155,63080.0,Antarctica,-60.75,-44.716667,Unknown,Unknown,Unknown
156,19589.0,UnitedStates,59.283333,-135.45,Unknown,Unknown,Unknown
157,33470.0,UnitedKingdom,55.9,-4.4,Unknown,Unknown,EmergencyOnly
158,12650.0,Brazil,-3.716667,-38.483333,Yes,Yes,Moderate
159,4130.0,Canada,45.9,-81.916667,Unknown,Unknown,Unknown
160,19807.0,UnitedStates,60.1,-152.583333,Unknown,Unknown,Unknown
161,47690.0,Reunion,-20.933333,55.316667,Yes,Yes,Limited
162,28715.0,Poland,54.4,18.716667,Yes,Yes,None
163,42790.0,Greece,39.083333,26.083333,Unknown,Unknown,Unknown
164,45515.0,Algeria,36.883333,6.95,Yes,Yes,None
165,19950.0,UnitedStates,58.066667,-153.066667,Unknown,Unknown,Unknown
166,19830.0,UnitedStates,57.716667,-152.516667,Yes,Yes,Unknown
167,542.0,Greenland,61.516667,-42.216667,Unknown,Unknown,None
168,14090.0,Chile,-52.633333,-70.2,Unknown,Unknown,Unknown
169,9665.0,Honduras,16.083333,-86.9,Yes,Unknown,Unknown
170,6650.0,UnitedStates,44.516667,-67.866667,Yes,Yes,Unknown
171,12820.0,Brazil,-19.85,-40.05,Yes,Unknown,None
172,35835.0,France,49.65,0.15,Yes,Yes,Unknown
173,26280.0,Sweden,62.666667,17.866667,Unknown,Unknown,Limited
174,7020.0,UnitedStates,43.866667,-69.533333,Yes,Yes,Unknown
175,3950.0,Canada,44.75,-79.85,Unknown,Unknown,Unknown
176,1820.0,Canada,48.45,-58.45,Unknown,Unknown,Unknown
177,40750.0,Italy,45.333333,12.316667,Unknown,Unknown,Unknown
178,4380.0,UnitedStates,43.95,-82.7,Unknown,Unknown,Unknown
179,3960.0,Canada,44.75,-79.8,No,No,Unknown
180,3150.0,UnitedStates,43.95,-76.116667,Yes,Yes,Limited
181,46544.0,Angola,-6.25,10.733333,Unknown,Unknown,Unknown
182,12857.0,Brazil,-20.883333,-51.366667,Yes,Unknown,Unknown
183,4270.0,Canada,46.3,-84.033333,Yes,Yes,Unknown
184,19180.0,UnitedStates,55.916667,-131.8,No,Yes,Unknown
185,47695.0,Reunion,-20.933333,55.283333,Yes,Yes,Limited
186,9230.0,UnitedStates,29.716667,-95.233333,Yes,Yes,Unknown
187,14020.0,SouthGeorgiaandSouthSandwichIslands,-54.033333,-37.15,Unknown,Unknown,Unknown
188,43835.0,Ukraine,44.85,34.983333,Yes,Unknown,Unknown
189,5170.0,Canada,47.7,-85.8,Unknown,Unknown,Unknown
190,19490.0,UnitedStates,57.466667,-135.05,Unknown,Unknown,Unknown
191,19730.0,UnitedStates,60.066667,-148.05,Unknown,Unknown,Unknown
192,3980.0,Canada,44.766667,-79.716667,Yes,Unknown,Limited
193,4480.0,UnitedStates,45.2,-83.383333,Unknown,Unknown,Unknown
194,19585.0,UnitedStates,59.233333,-135.433333,Unknown,Unknown,Unknown
195,7070.0,UnitedStates,43.85,-69.733333,Yes,Yes,Moderate
196,6980.0,UnitedStates,43.916667,-69.25,Unknown,Yes,Limited
197,42440.0,Greece,38.916667,22.616667,No,No,Limited
198,42205.0,Greece,37.966667,23.383333,Yes,Yes,None
199,19870.0,UnitedStates,57.0,-154.15,Unknown,Unknown,Limited
200,5110.0,UnitedStates,45.966667,-85.866667,Unknown,Unknown,Unknown
201,19650.0,UnitedStates,60.633333,-145.666667,Unknown,Unknown,Unknown
202,4580.0,UnitedStates,45.733333,-85.516667,Yes,Yes,EmergencyOnly
203,14040.0,SouthGeorgiaandSouthSandwichIslands,-54.15,-36.7,Unknown,Unknown,Unknown
204,19840.0,UnitedStates,57.166667,-153.166667,Unknown,Unknown,Unknown
205,4540.0,UnitedStates,45.85,-84.716667,Yes,Yes,Unknown
206,3610.0,UnitedStates,42.283333,-83.116667,Yes,Yes,Major
207,45845.0,Guinea,10.816667,-14.566667,Unknown,Unknown,Unknown
208,19190.0,UnitedStates,55.766667,-132.216667,Unknown,Unknown,Unknown
209,3340.0,Canada,41.766667,-82.683333,Unknown,Unknown,Unknown
210,19860.0,UnitedStates,57.116667,-153.5,Unknown,Unknown,Unknown
211,20330.0,UnitedStates,62.733333,-164.466667,Yes,Yes,Unknown
212,4450.0,UnitedStates,44.4,-83.316667,Unknown,Yes,Limited
213,61662.0,Japan,34.183333,132.25,Yes,Yes,Limited
214,61356.0,Japan,36.5,140.633333,Unknown,Unknown,Limited
215,50140.0,Indonesia,-2.066667,105.166667,No,No,None
216,40590.0,Italy,41.616667,15.916667,Yes,Unknown,Limited
217,39810.0,Italy,42.102,11.771,Yes,Yes,Limited
218,45855.0,Guinea,9.516667,-13.716667,Yes,Yes,Limited
219,45838.0,Guinea-Bissau,11.866667,-15.633333,Unknown,Yes,Moderate
220,34160.0,Ireland,52.266667,-9.866667,Yes,Yes,Limited
221,41420.0,Croatia,42.933333,17.133333,Yes,Yes,Limited
222,41840.0,Greece,38.25,22.083333,Unknown,Unknown,Unknown
223,32700.0,FaroeIslands,62.116667,-6.733333,Yes,Unknown,Limited
224,19510.0,UnitedStates,57.4,-134.5,Yes,Yes,Unknown
225,19330.0,UnitedStates,56.6,-134.233333,Unknown,Unknown,Unknown
226,700.0,Greenland,67.95,-53.733333,Unknown,Unknown,Unknown
227,31640.0,UnitedKingdom,53.583333,-0.066667,Yes,Yes,Limited
228,31610.0,UnitedKingdom,52.75,0.4,Yes,Yes,Limited
229,31310.0,Belgium,51.233333,2.916667,Yes,Yes,Limited
230,30990.0,Netherlands,53.333333,6.933333,Yes,Yes,Limited
231,25590.0,Sweden,60.683333,17.166667,Yes,Unknown,Limited
232,33560.0,UnitedKingdom,55.466667,-4.633333,Yes,Yes,Moderate
233,7000.0,UnitedStates,43.966667,-69.333333,Unknown,Yes,Limited
234,6880.0,UnitedStates,44.566667,-68.783333,Yes,Yes,Limited
235,23660.0,Norway,59.066667,9.7,Yes,Unknown,Moderate
236,19588.0,UnitedStates,59.233333,-135.433333,No,No,None
237,19110.0,UnitedStates,55.133333,-131.566667,No,No,None
238,28930.0,Germany,54.316667,10.133333,Yes,Yes,Major
239,5460.0,UnitedStates,46.766667,-92.1,Yes,Yes,Major
240,5390.0,UnitedStates,46.6,-90.866667,Yes,Yes,Limited
241,4690.0,UnitedStates,43.233333,-86.266667,Yes,Yes,Moderate
242,4650.0,UnitedStates,44.25,-86.316667,Yes,Yes,Moderate
243,4520.0,UnitedStates,45.783333,-84.716667,Yes,Yes,Limited
244,9240.0,UnitedStates,29.75,-95.283333,Yes,Yes,Major
245,8410.0,UnitedStates,35.1,-77.05,Yes,Yes,Moderate
246,4200.0,Canada,46.183333,-82.95,Yes,Yes,Limited
247,3940.0,Canada,44.75,-79.916667,Yes,Yes,Unknown
248,3520.0,UnitedStates,41.4,-82.55,Yes,Yes,None
249,3430.0,UnitedStates,42.883333,-78.883333,Yes,Yes,Major
250,5320.0,UnitedStates,46.783333,-88.483333,Yes,Unknown,Unknown
251,33310.0,UnitedKingdom,55.533333,-5.116667,Unknown,Unknown,EmergencyOnly
252,33530.0,UnitedKingdom,55.65,-4.816667,Yes,Yes,Limited
253,320.0,Iceland,66.033333,-17.333333,Yes,Yes,Unknown
254,2790.0,UnitedStates,44.333333,-75.916667,Yes,Yes,Unknown
255,3100.0,Canada,43.25,-79.066667,Unknown,Unknown,Unknown
256,4490.0,UnitedStates,45.416667,-83.783333,Unknown,Unknown,Unknown
257,23080.0,Norway,63.416667,10.8,Yes,Unknown,Limited
258,12772.0,Brazil,-12.783333,-38.5,Yes,Unknown,Limited
259,22790.0,Norway,66.233333,13.616667,Unknown,Yes,Unknown
260,30500.0,Denmark,56.5,8.583333,Yes,Unknown,Limited
261,30785.0,Germany,53.65,9.516667,Yes,Yes,Limited
262,31375.0,UnitedKingdom,51.433333,0.7,Yes,Yes,Limited
263,31945.0,UnitedKingdom,56.033333,-3.316667,Unknown,Unknown,Unknown
264,19130.0,UnitedStates,55.333333,-131.65,Yes,Yes,Limited
265,24530.0,Sweden,56.383333,16.1,Yes,Unknown,Limited
266,26240.0,Sweden,62.633333,17.933333,Yes,Yes,Limited
267,12710.0,Brazil,-6.966667,-34.833333,Yes,Unknown,Limited
268,5560.0,Canada,48.066667,-66.366667,Yes,Yes,Limited
269,15290.0,Ecuador,-2.216667,-80.916667,Yes,Yes,Limited
270,14380.0,Chile,-37.1,-73.15,No,No,Limited
271,19850.0,UnitedStates,57.15,-153.2,Unknown,Unknown,Unknown
272,5990.0,Canada,46.216667,-60.25,Yes,Yes,Limited
273,3380.0,Canada,42.1,-83.1,Unknown,Unknown,Limited
274,10010.0,TheBahamas,20.95,-73.683333,Unknown,Yes,Limited
275,11035.0,DominicanRepublic,18.433333,-69.633333,Yes,Yes,Limited
276,11100.0,PuertoRico,18.483333,-66.7,Yes,Unknown,Unknown
277,7190.0,UnitedStates,42.816667,-70.866667,Yes,Yes,Unknown
278,29120.0,Denmark,55.183333,14.7,Yes,Yes,Limited
279,30170.0,Denmark,55.566667,9.766667,Yes,Yes,Limited
280,30640.0,Denmark,55.466667,8.45,Yes,Unknown,Limited
281,31320.0,Belgium,51.133333,2.75,Yes,Yes,Limited
282,32910.0,UnitedKingdom,57.266667,-5.733333,Unknown,Unknown,EmergencyOnly
283,32920.0,UnitedKingdom,57.25,-5.883333,Unknown,Unknown,EmergencyOnly
284,10430.0,Cuba,20.216667,-77.316667,No,No,None
285,10470.0,Cuba,20.7,-77.616667,No,No,None
286,11410.0,SaintKittsandNevis,17.133333,-62.633333,Yes,Unknown,Unknown
287,61160.0,Japan,42.983333,144.366667,Yes,Yes,Limited
288,60320.0,SouthKorea,37.466667,126.616667,Yes,Yes,Limited
289,60250.0,China,38.916667,121.666667,Yes,Unknown,Major
290,55210.0,NewZealand,-39.066667,174.033333,Yes,Yes,Major
291,55060.0,NewZealand,-36.85,174.766667,Yes,Yes,Major
292,54880.0,Australia,-41.05,145.95,Yes,Unknown,Limited
293,52720.0,Indonesia,-3.683333,128.166667,Yes,Unknown,Limited
294,48076.0,Israel,29.55,34.95,Yes,Yes,Limited
295,47990.0,Egypt,27.216667,33.85,No,No,EmergencyOnly
296,47630.0,Madagascar,-12.266667,49.283333,No,No,Moderate
297,47510.0,Madagascar,-21.25,48.333333,No,No,EmergencyOnly
298,47130.0,Somalia,-0.366667,42.55,No,No,Limited
299,47100.0,Kenya,-4.066667,39.666667,Yes,Yes,Moderate
300,46590.0,Angola,-12.333333,13.566667,Yes,No,Limited
301,45820.0,Senegal,14.683333,-17.433333,Yes,Yes,Moderate
302,48465.0,Iran,29.233333,50.333333,Yes,Yes,EmergencyOnly
303,48450.0,Iran,30.466667,49.183333,No,No,None
304,44080.0,Russia,47.1,39.433333,Yes,Yes,Limited
305,43550.0,Romania,43.816667,28.583333,Yes,Yes,Major
306,41940.0,Greece,37.016667,22.116667,Yes,Yes,Limited
307,41820.0,Greece,38.433333,22.416667,No,No,None
308,41550.0,Croatia,42.666667,18.083333,Yes,Yes,Limited
309,39590.0,Italy,43.542,10.29,Yes,Yes,Major
310,39025.0,Monaco,43.733333,7.416667,Yes,Yes,EmergencyOnly
311,46095.0,Togo,6.2,1.516667,Unknown,Unknown,None
312,37770.0,Spain,43.366667,-8.4,Yes,Yes,Limited
313,37120.0,France,45.55,-1.05,Yes,Yes,EmergencyOnly
314,35400.0,UnitedKingdom,50.4,-3.516667,Unknown,Yes,Limited
315,35150.0,UnitedKingdom,51.033333,-4.2,Yes,Yes,Limited
316,34700.0,UnitedKingdom,53.483333,-2.266667,Yes,Yes,Major
317,34660.0,UnitedKingdom,53.916667,-3.016667,Yes,Yes,Moderate
318,33930.0,Ireland,54.633333,-8.45,Yes,Yes,Limited
319,34260.0,Ireland,51.683333,-9.45,Yes,Yes,None
320,34648.0,UnitedKingdom,53.35,-2.9,Yes,Yes,Limited
321,42345.0,Greece,38.483333,21.1,Yes,Yes,None
322,41800.0,Greece,38.366667,21.416667,Yes,Yes,Limited
323,48470.0,Iran,28.983333,50.833333,Yes,Yes,Limited
324,45350.0,Libya,33.066667,11.816667,Unknown,Unknown,Unknown
325,45819.0,Senegal,14.716667,-17.4,No,Unknown,Moderate
326,46237.0,Nigeria,3.466667,5.566667,Unknown,Unknown,Unknown
327,56730.0,PapuaNewGuinea,-2.016667,147.266667,Yes,Yes,Unknown
328,53520.0,Australia,-28.866667,153.566667,Unknown,Yes,Limited
329,42890.0,Greece,37.833333,24.95,Unknown,Unknown,Unknown
330,37960.0,Portugal,41.15,-8.666667,Yes,Yes,Limited
331,57990.0,Philippines,18.616667,121.083333,Yes,Unknown,Limited
332,58370.0,Philippines,14.583333,120.966667,Yes,Yes,Moderate
333,60240.0,China,38.783333,121.25,Yes,Unknown,Limited
334,61140.0,Japan,43.283333,145.583333,Yes,Unknown,Unknown
335,46473.0,Congo(Brazzaville),-5.266667,11.566667,No,Unknown,None
336,45952.0,Liberia,4.983333,-9.05,Unknown,Yes,None
337,51501.0,Indonesia,4.15,106.25,No,No,None
338,51570.0,Malaysia,2.166667,111.633333,Yes,Unknown,Limited
339,39820.0,Italy,41.772,12.214,No,No,Limited
340,43388.0,Turkey,40.966667,28.7,Yes,Yes,Limited
341,51220.0,Indonesia,-7.733333,109.0,Yes,Yes,Limited
342,46900.0,Mozambique,-18.566667,36.5,Unknown,Unknown,Unknown
343,47420.0,Madagascar,-18.066667,44.016667,Unknown,Unknown,Unknown
344,47590.0,Madagascar,-15.45,49.816667,Unknown,Unknown,Unknown
345,52240.0,Indonesia,-3.966667,122.583333,Unknown,Yes,EmergencyOnly
346,61360.0,Japan,35.733333,140.85,Unknown,Unknown,Unknown
347,61555.0,Japan,34.7,135.383333,Yes,Yes,Limited
348,53142.0,PapuaNewGuinea,-8.1,144.566667,No,No,None
349,53230.0,PapuaNewGuinea,-6.733333,147.0,Yes,Yes,None
350,54943.0,Australia,-41.15,146.816667,Yes,Yes,Limited
351,55590.0,Tonga,-21.133333,-175.2,Unknown,Yes,Limited
352,58170.0,Philippines,13.15,123.75,Yes,Unknown,Limited
353,59974.0,China,31.766667,120.95,Yes,Unknown,Unknown
354,60990.0,Russia,49.45,142.133333,Unknown,Unknown,EmergencyOnly
355,44965.0,Cyprus,34.966667,33.716667,Yes,Yes,None
356,45100.0,Israel,31.816667,34.65,Yes,Unknown,Moderate
357,45175.0,Egypt,30.983333,28.866667,No,No,Unknown
358,45620.0,Algeria,35.933333,0.083333,No,No,Limited
359,46552.0,Angola,-7.833333,12.1,Unknown,Unknown,Unknown
360,49640.0,Burma,16.783333,94.733333,No,No,Limited
361,49780.0,Thailand,8.066667,98.916667,No,No,None
362,49792.0,Thailand,11.183333,99.6,Yes,Unknown,Limited
363,50180.0,Indonesia,-1.633333,105.783333,Unknown,Unknown,Unknown
364,44808.0,Turkey,36.816667,30.6,Unknown,Unknown,None
365,44820.0,Turkey,36.833333,30.616667,Yes,Yes,Limited
366,45630.0,Algeria,35.85,-0.3,Yes,Yes,Limited
367,46286.0,Cameroon,4.116667,8.483333,No,Unknown,None
368,46488.0,Angola,-5.466667,11.5,No,Unknown,None
369,57410.0,Malaysia,3.966667,103.433333,Yes,Unknown,None
370,57436.0,Thailand,10.516667,101.25,No,Unknown,None
371,53045.0,Indonesia,-1.3,131.016667,No,No,None
372,61277.0,Japan,40.216667,140.0,No,Unknown,Limited
373,53115.0,Indonesia,-4.816667,136.966667,Unknown,Unknown,Unknown
374,53370.0,Australia,-18.516667,146.333333,No,No,Limited
375,54920.0,Australia,-41.183333,146.366667,Yes,Unknown,Limited
376,58540.0,Philippines,13.416667,121.183333,Unknown,Yes,Unknown
377,61020.0,Russia,50.733333,142.1,Unknown,Unknown,EmergencyOnly
378,42378.0,Greece,38.033333,23.6,Yes,Yes,Limited
379,42434.0,Greece,38.9,22.816667,Yes,Yes,Limited
380,38083.0,Portugal,38.4,-28.266667,Unknown,Unknown,Unknown
381,38440.0,Spain,38.333333,-0.483333,Yes,Yes,None
382,43130.0,Greece,35.35,25.15,No,Yes,Limited
383,59930.0,China,28.683333,121.45,Yes,Unknown,Limited
384,61270.0,Japan,40.833333,140.75,Yes,Unknown,Limited
385,48550.0,Iran,25.266667,60.616667,Yes,Yes,Moderate
386,27870.0,Finland,60.2,19.333333,Unknown,Unknown,EmergencyOnly
387,19390.0,UnitedStates,56.25,-134.683333,Unknown,Unknown,Unknown
